ex_date,stock_id,stock_name,previous_close,ex_reference_price,opening_reference_price,opening_auction_base,limit_up_price,limit_down_price,cash_dividend,dividend_value,stock_dividend_rate,cash_capital_increase_price,cash_capital_increase_rate,right_or_dividend,deducted_dividend_reference_price,detail_key
2003-05-05,1439,雋揚,7.2,6.9,,7.35,0.3,,,0.0,,,,0.3,6.45,6.9
2003-05-06,1717,長興,17.4,16.0,,17.1,1.4,,,0.0,,,,1.4,14.9,16.0
2003-05-20,1520,復盛,43.8,40.8,,43.6,3.0,,,0.0,,,,3.0,38.0,40.8
2003-05-20,9915,億豐,75.0,58.53,,62.5,16.47,,,15.83,,,,0.64,54.5,58.5
2003-05-22,1708,東鹼,5.2,5.05,,5.4,0.15,,,0.0,,,,0.15,4.7,5.05
2003-05-22,1907,永豐餘,10.6,10.4,,11.1,0.2,,,0.0,,,,0.2,9.7,10.4
2003-05-22,9102,東亞科,27.2,21.7,,23.2,5.5,,,4.35,,,,1.15,20.2,21.7
2003-05-29,2808,北商銀,15.5,15.3,,16.3,0.2,,,0.0,,,,0.2,14.25,15.3
2003-06-02,1451,年興,37.0,34.8,,37.2,2.2,,,0.0,,,,2.2,32.4,34.8
2003-06-02,1520,復盛,45.0,41.99,,44.9,3.01,,,3.01,,,,0.0,39.1,42.0
2003-06-02,2031,新光鋼,28.5,27.5,,29.4,1.0,,,0.0,,,,1.0,25.6,27.5
2003-06-02,3015,全漢,57.0,48.85,,52.0,8.15,,,6.65,,,,1.5,45.5,48.9
2003-06-05,3009,奇美電,24.9,23.75,,26.6,1.15,,,1.15,,,,0.0,22.1,24.9
2003-06-06,1612,宏泰,10.2,9.48,,10.1,0.71302,,,0.0,,,,0.71302,8.85,9.5
2003-06-09,2345,智邦,30.5,26.46,,28.3,4.0461,,,3.01,,,,1.0361,24.7,26.5
2003-06-10,1731,美吾華,15.7,14.7,,15.7,1.0,,,0.0,,,,1.0,13.7,14.7
2003-06-10,2430,燦坤,44.4,42.4,,45.3,2.0,,,0.0,,,,2.0,39.5,42.4
2003-06-10,2833,台壽保,33.4,31.4,,33.5,2.0,,,0.0,,,,2.0,29.3,31.4
2003-06-10,3049,精金,20.0,15.91,,17.0,4.09,,,4.09,,,,0.0,14.8,15.9
2003-06-10,9926,新海,12.25,11.65,,12.45,0.6,,,0.0,,,,0.6,10.85,11.65
2003-06-12,1301,台塑,47.0,45.8,,49.0,1.2,,,0.0,,,,1.2,42.6,45.8
2003-06-12,1423,利華,7.9,7.4,,7.9,0.5,,,0.0,,,,0.5,6.9,7.4
2003-06-13,1905,華紙,14.2,14.08,,15.0,0.12,,,0.0,,,,0.12,13.1,14.1
2003-06-13,2906,高林,10.15,9.32,,9.95,0.83,,,0.0,,,,0.83,8.7,9.3
2003-06-17,2315,神達,12.95,12.75,,13.6,0.2,,,0.0,,,,0.2,11.9,12.75
2003-06-18,3009,奇美電,26.9,23.91,,25.5,2.99,,,2.99,,,,0.0,22.3,23.9
2003-06-19,1323,永裕,11.5,11.0,,11.75,0.5,,,0.0,,,,0.5,10.25,11.0
2003-06-19,1326,台化,40.7,39.1,,41.8,1.6,,,0.0,,,,1.6,36.4,39.1
2003-06-19,1540,喬福,13.3,12.5,,13.35,0.8,,,0.0,,,,0.8,11.65,12.5
2003-06-19,1614,三洋電,13.6,12.7,,13.55,0.9,,,0.0,,,,0.9,11.85,12.7
2003-06-19,2343,精業,24.1,21.61,,23.1,2.49,,,2.29,,,,0.2,20.1,21.6
2003-06-19,2411,飛瑞,33.4,31.5,,33.7,1.9,,,0.0,,,,1.9,29.3,31.5
2003-06-19,2482,連宇,24.2,22.74,,24.3,1.46,,,0.66,,,,0.8,21.2,22.7
2003-06-19,2523,德寶,10.9,9.9,,10.55,1.0,,,0.0,,,,1.0,9.25,9.9
2003-06-19,2851,中再保,13.1,12.0,,13.05,1.1,,,0.2,,,,0.9,11.2,12.2
2003-06-19,2852,第一保,10.2,9.6,,10.25,0.6,,,0.0,,,,0.6,8.95,9.6
2003-06-20,1110,東泥,7.3,6.8,,7.25,0.5,,,0.0,,,,0.5,6.35,6.8
2003-06-20,1473,台南,44.0,41.0,,43.8,3.0,,,0.0,,,,3.0,38.2,41.0
2003-06-20,2308,台達電,49.0,44.22,,47.3,4.78,,,2.78,,,,2.0,41.2,44.2
2003-06-20,2832,台產,12.3,11.8,,12.6,0.5,,,0.0,,,,0.5,11.0,11.8
2003-06-23,1474,弘裕,13.9,13.29,,14.85,0.61,,,0.61,,,,0.0,12.4,13.9
2003-06-23,1909,榮成,5.5,5.3,,5.65,0.2,,,0.0,,,,0.2,4.93,5.3
2003-06-23,2352,佳世達,45.8,36.26,,38.7,9.54,,,8.04,,,,1.5,33.8,36.3
2003-06-23,3001,協和,13.75,12.46,,13.3,1.29,,,1.29,,,,0.0,11.6,12.45
2003-06-24,3018,隆銘綠能,16.3,14.9,,15.9,1.4,,,0.0,,,,1.4,13.9,14.9
2003-06-24,9908,大台北,10.0,9.55,,10.2,0.446,,,0.0,,,,0.446,8.9,9.55
2003-06-25,1503,士電,17.5,17.0,,18.1,0.5,,,0.0,,,,0.5,15.9,17.0
2003-06-25,1907,永豐餘,11.6,11.26,,12.0,0.34,,,0.34,,,,0.0,10.5,11.25
2003-06-25,2332,友訊,33.0,31.08,,33.2,1.92,,,0.42,,,,1.5,29.0,31.1
2003-06-26,1303,南亞,39.0,37.8,,40.4,1.2,,,0.0,,,,1.2,35.2,37.8
2003-06-26,1440,南紡,7.4,7.2,,7.7,0.2,,,0.0,,,,0.2,6.7,7.2
2003-06-26,2312,金寶,19.5,17.23,,18.4,2.27,,,1.77,,,,0.5,16.1,17.2
2003-06-26,3048,益登,84.5,60.46,,64.5,24.04,,,21.14,,,,2.9,56.5,60.5
2003-06-26,9930,中聯資源,13.55,12.55,,13.4,1.0,,,0.0,,,,1.0,11.7,12.55
2003-06-26,9941,裕融,29.7,27.7,,29.6,2.0,,,0.0,,,,2.0,25.8,27.7
2003-06-27,1109,信大,8.8,8.3,,8.85,0.5,,,0.0,,,,0.5,7.75,8.3
2003-06-27,1219,福壽,5.2,5.08,,5.4,0.12,,,0.0,,,,0.12,4.73,5.1
2003-06-27,1713,國化,8.4,8.0,,8.55,0.4,,,0.0,,,,0.4,7.45,8.0
2003-06-27,9910,豐泰,28.1,25.9,,27.7,2.2,,,0.0,,,,2.2,24.1,25.9
2003-06-27,9924,福興,22.8,21.44,,22.9,1.35765,,,0.0,,,,1.35765,20.0,21.4
2003-06-30,1507,永大,19.3,18.5,,19.7,0.8,,,0.0,,,,0.8,17.3,18.5
2003-06-30,1904,正隆,9.25,8.95,,9.55,0.3,,,0.0,,,,0.3,8.35,8.95
2003-06-30,2548,華固,6.4,5.9,,6.3,0.5,,,0.0,,,,0.5,5.5,5.9
2003-06-30,3027,盛達,28.0,22.98,,24.5,5.02,,,4.32,,,,0.7,21.4,23.0
2003-07-01,1301,台塑,48.2,45.47,,48.6,2.73,,,2.73,,,,0.0,42.3,45.5
2003-07-01,1472,三洋實業,19.5,18.23,,20.8,1.27,,,1.27,,,,0.0,17.0,19.5
2003-07-01,1476,儒鴻,12.05,11.17,,11.95,0.88,,,0.0,,,,0.88,10.4,11.15
2003-07-01,1510,台安,8.9,8.7,,9.3,0.2,,,0.0,,,,0.2,8.1,8.7
2003-07-01,1711,永光,10.6,10.1,,10.8,0.5,,,0.0,,,,0.5,9.4,10.1
2003-07-02,1468,昶和,12.9,12.75,,13.6,0.15,,,0.0,,,,0.15,11.9,12.75
2003-07-02,1473,台南,42.5,42.36,,45.3,0.14,,,0.14,,,,0.0,39.4,42.4
2003-07-02,2338,光罩,19.3,18.28,,19.5,1.019535,,,0.0,,,,1.019535,17.1,18.3
2003-07-02,2409,友達,25.6,23.76,,25.4,1.84,,,1.34,,,,0.5,22.1,23.8
2003-07-02,3005,神基,21.4,18.32,,19.6,3.08,,,2.08,,,,1.0,17.1,18.3
2003-07-03,1434,福懋,14.35,13.65,,14.6,0.7,,,0.0,,,,0.7,12.7,13.65
2003-07-03,1504,東元,10.6,10.1,,10.8,0.5,,,0.0,,,,0.5,9.4,10.1
2003-07-03,1530,亞崴,27.5,26.74,,28.6,0.76,,,0.0,,,,0.76,24.9,26.7
2003-07-03,2882,國泰金,44.2,42.7,,45.6,1.5,,,0.0,,,,1.5,39.8,42.7
2003-07-03,2891,中信金,28.4,27.4,,29.3,1.0,,,0.0,,,,1.0,25.5,27.4
2003-07-03,3023,信邦,36.0,31.14,,33.3,4.86,,,3.36,,,,1.5,29.0,31.1
2003-07-03,9911,櫻花,9.45,8.59,,9.15,0.86,,,0.86,,,,0.0,8.0,8.6
